,accuracy,precision,recall,f1,roc_auc
RandomForest,0.9588744588744589,0.9119496855345912,0.9666666666666667,0.9385113268608414,0.99
XGBoost,0.9624819624819625,0.9252136752136753,0.9622222222222222,0.9433551198257081,0.9928774928774929
