model,f1_default,f1_tuned,recall_default,recall_tuned
RandomForest,0.9385113268608414,0.9398907103825137,0.9666666666666667,0.9555555555555556
XGBoost,0.9433551198257081,0.9475982532751092,0.9622222222222222,0.9644444444444444
