,accuracy,precision,recall,f1,roc_auc
LogReg,0.9047619047619048,0.8057692307692308,0.9311111111111111,0.8639175257731959,0.9740265906932575
MLP,0.9451659451659452,0.9030172413793104,0.9311111111111111,0.9168490153172867,0.9834021842355176
CNN1D,0.8823953823953824,0.8508557457212714,0.7733333333333333,0.810244470314319,0.9462440645773977
LSTM,0.8441558441558441,0.7397540983606558,0.8022222222222222,0.7697228144989339,0.8860944919278253
