setting,accuracy,precision,recall,f1,roc_auc
no device info,0.9336219336219336,0.8713692946058091,0.9333333333333333,0.9012875536480687,0.9791227445394112
with device one-hot,0.9365079365079365,0.8770833333333333,0.9355555555555556,0.9053763440860215,0.9834472934472935
test:Waist only,0.9486238532110092,0.8765432098765432,0.9466666666666667,0.9102564102564102,0.9818734177215189
test:Wrist only,0.9345238095238095,0.8888888888888888,0.9484536082474226,0.9177057356608479,0.9869471233787829
test:Neck only,0.9198813056379822,0.8558558558558559,0.8962264150943396,0.8755760368663594,0.9822347463856897
