,0
bar_press_rms,-0.011928964109012275
bar_press_min,-0.011631068016832113
bar_press_median,-0.007381893748611712
bar_press_mean,-0.0070463134225142495
bar_temp_median,-0.005354763094797632
mag_mag_std,-0.003730293085357528
mag_z_mean,-0.003729572147720761
mag_y_median,-0.0031703633054102954
mag_z_rms,-0.0022937310304324667
bar_temp_min,-0.0019495182853009664
gyr_mag_max,-0.0018936044892952308
mag_z_median,-0.0017726427773046894
gyr_x_min,-0.0017154770947418684
mag_y_max,-0.0016996907055055522
bar_temp_max,-0.0015655771837736366
gyr_z_median,-0.0013053285353448185
mag_x_min,-0.00126925448048949
bar_temp_rms,-0.0012201317549319635
mag_x_max,-0.001184812750051467
mag_mag_median,-0.0009947243354097245
dev_Neck,-0.0004940511631042144
bar_temp_std,-0.00038187950234629396
gyr_z_mean,-0.00010777732878868296
mag_mag_min,-9.225927320735127e-05
mag_z_max,-7.098701255860984e-05
acc_y_mean,-1.5181799745134228e-06
mag_x_mean,5.74963858458899e-05
acc_z_rms,0.00026685632379219726
dev_Wrist,0.00038152870383136863
mag_mag_rms,0.0004477004303814258
acc_y_median,0.00045159478634071437
mag_y_mean,0.0009115838559169198
acc_z_median,0.0011621409899500224
gyr_y_min,0.0013843307726097542
gyr_x_max,0.0013878095420330806
gyr_z_rms,0.0015421108848464372
dev_Waist,0.0016571269953264522
gyr_y_rms,0.0017407140412891043
gyr_y_mean,0.0017728055911903073
gyr_mag_mean,0.0018005773245724165
acc_x_median,0.0019320359311094438
gyr_z_std,0.0019816566175896444
mag_x_rms,0.00203789409930073
mag_mag_mean,0.0020477970025928106
acc_mag_mean,0.002052141490701942
bar_temp_mean,0.0021114659144986668
gyr_x_median,0.002146090922891597
acc_y_rms,0.002192659928882179
acc_x_std,0.002363359876531179
gyr_x_std,0.002414232888550405
gyr_y_median,0.002523145311103603
mag_y_rms,0.002600445126851758
acc_z_mean,0.0026842913164840444
gyr_z_max,0.00315936962455321
bar_press_std,0.0031632775779437683
mag_mag_max,0.0036081355567288086
mag_y_std,0.003675552491921441
gyr_y_std,0.003917475766180645
gyr_z_min,0.0039847570897384
gyr_x_mean,0.0042145178009841185
acc_mag_median,0.004232537849980433
gyr_mag_median,0.00440265604260881
acc_mag_min,0.004818874778341797
mag_z_min,0.004857131039997809
mag_x_median,0.00505876996039305
gyr_mag_min,0.005184354732980045
acc_x_rms,0.005752215937882621
gyr_y_max,0.0062059992707082625
mag_z_std,0.006414401848664042
gyr_x_rms,0.008225905371664921
mag_x_std,0.008440976439753656
acc_y_std,0.009185288654678514
gyr_mag_std,0.009295790160032569
gyr_mag_rms,0.009450291567808721
acc_z_std,0.009771864546277608
acc_y_min,0.011716390552859956
bar_press_max,0.013195434696704677
acc_x_min,0.014022242767839033
acc_mag_max,0.014668093295735063
acc_x_mean,0.016249110666931223
mag_y_min,0.01636921002945473
acc_mag_std,0.01665558796148956
acc_mag_rms,0.018925963593004646
acc_z_min,0.020755810130469166
acc_x_max,0.02686222058623213
acc_z_max,0.02972470612218987
acc_y_max,0.032736422027240544
