,F1 default,F1 tuned,recall default,recall tuned
MLP,0.9168490153172867,0.9151450053705693,0.9311111111111111,0.9466666666666667
CNN1D,0.810244470314319,0.8355855855855856,0.7733333333333333,0.8244444444444444
