,accuracy,precision,recall,f1,roc_auc
LogReg,0.9047619047619048,0.8057692307692308,0.9311111111111111,0.8639175257731959,0.9740265906932575
MLP,0.9451659451659452,0.9030172413793104,0.9311111111111111,0.9168490153172867,0.9834021842355176
CNN1D,0.8823953823953824,0.8508557457212714,0.7733333333333333,0.810244470314319,0.9462440645773977
LSTM,0.8441558441558441,0.7397540983606558,0.8022222222222222,0.7697228144989339,0.8860944919278253
RandomForest,0.9588744588744589,0.9119496855345912,0.9666666666666667,0.9385113268608414,0.99
XGBoost,0.9624819624819625,0.9252136752136753,0.9622222222222222,0.9433551198257081,0.9928774928774929
CNN1D-seq,0.9466089466089466,0.9372093023255814,0.8955555555555555,0.9159090909090909,0.9785838081671415
LSTM-seq,0.9126984126984127,0.8870588235294118,0.8377777777777777,0.8617142857142858,0.9578228869895536
