,accuracy,precision,recall,f1,roc_auc
CNN1D-seq,0.9466089466089466,0.9372093023255814,0.8955555555555555,0.9159090909090909,0.9785838081671415
LSTM-seq,0.9126984126984127,0.8870588235294118,0.8377777777777777,0.8617142857142858,0.9578228869895536
