sensor_set,n_feat,accuracy,precision,recall,f1,roc_auc
acc,24,0.9668109668109668,0.9316239316239316,0.9688888888888889,0.9498910675381264,0.9923872269705604
gyr,24,0.886002886002886,0.7862745098039216,0.8911111111111111,0.8354166666666667,0.9441904083570749
mag,24,0.8037518037518038,0.6566901408450704,0.8288888888888889,0.7328094302554028,0.8803608736942071
bar,12,0.4884559884559885,0.36,0.74,0.4843636363636364,0.48001899335232673
acc+gyr,48,0.9552669552669553,0.9163090128755365,0.9488888888888889,0.9323144104803494,0.990187559354226
acc+gyr+mag,72,0.9567099567099567,0.922077922077922,0.9466666666666667,0.9342105263157895,0.9908618233618234
all,84,0.9516594516594516,0.9227373068432672,0.9288888888888889,0.9258028792912514,0.9883475783475784
